// gen_swimmers --poly=-215,-2:-16,6:-76,-86 --swimmers=17 --unreg=31 --sep=5
// Lowest dist between swimmers: 5.00
poly = pts={-215,-2:-16,6:-76,-86}
swimmer = type=reg, name=p01, x=-173, y=-15
swimmer = type=reg, name=p02, x=-77, y=-1
swimmer = type=reg, name=p03, x=-80, y=-66
swimmer = type=reg, name=p04, x=-124, y=-21
swimmer = type=reg, name=p05, x=-113, y=-50
swimmer = type=reg, name=p06, x=-50, y=-3
swimmer = type=reg, name=p07, x=-62, y=-10
swimmer = type=reg, name=p08, x=-95, y=-20
swimmer = type=reg, name=p09, x=-129, y=-34
swimmer = type=reg, name=p10, x=-133, y=-11
swimmer = type=reg, name=p11, x=-102, y=-12
swimmer = type=reg, name=p12, x=-112, y=-26
swimmer = type=reg, name=p13, x=-85, y=-47
swimmer = type=reg, name=p14, x=-106, y=-22
swimmer = type=reg, name=p15, x=-38, y=-17
swimmer = type=reg, name=p16, x=-77, y=-70

swimmer = type=reg, name=p17, x=-96, y=-60
swimmer = type=unreg, name=x01, x=-85, y=-54
swimmer = type=unreg, name=x02, x=-94, y=-55
swimmer = type=unreg, name=x03, x=-70, y=-74
swimmer = type=unreg, name=x04, x=-39, y=-26
swimmer = type=unreg, name=x05, x=-132, y=-28
swimmer = type=unreg, name=x06, x=-120, y=-6
swimmer = type=unreg, name=x07, x=-31, y=2
swimmer = type=unreg, name=x08, x=-144, y=-33
swimmer = type=unreg, name=x09, x=-112, y=-26
swimmer = type=unreg, name=x10, x=-135, y=0
swimmer = type=unreg, name=x11, x=-68, y=-58
swimmer = type=unreg, name=x12, x=-77, y=-80
swimmer = type=unreg, name=x13, x=-73, y=-8
swimmer = type=unreg, name=x14, x=-60, y=-43
swimmer = type=unreg, name=x15, x=-67, y=2
swimmer = type=unreg, name=x16, x=-103, y=-18
swimmer = type=unreg, name=x17, x=-133, y=-40
swimmer = type=unreg, name=x18, x=-64, y=-55
swimmer = type=unreg, name=x19, x=-139, y=-22
swimmer = type=unreg, name=x20, x=-47, y=-1
swimmer = type=unreg, name=x21, x=-157, y=-17
swimmer = type=unreg, name=x22, x=-190, y=-15
swimmer = type=unreg, name=x23, x=-196, y=-8
swimmer = type=unreg, name=x24, x=-75, y=-42
swimmer = type=unreg, name=x25, x=-140, y=0
swimmer = type=unreg, name=x26, x=-155, y=0
swimmer = type=unreg, name=x27, x=-148, y=0
swimmer = type=unreg, name=x28, x=-121, y=-40
swimmer = type=unreg, name=x29, x=-140, y=-27
swimmer = type=unreg, name=x30, x=-92, y=-6
swimmer = type=unreg, name=x31, x=-61, y=-25
